                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76176,                0.50237,                 1.0216,                0.82125,                0.57968,                0.67409,                0.47294,                 1.1246,                0.74747,                 1.3905,                0.00538,                0.00538,                0.00538
                     37,                0.75799,                 0.4977,                 1.0177,                0.81781,                 0.5917,                0.64378,                0.45151,                 1.1272,                 0.7478,                 1.4009,               0.005248,               0.005248,               0.005248
                     38,                0.74497,                0.48859,                  1.011,                0.55563,                 0.7184,                0.66594,                0.46508,                 1.1262,                0.75495,                 1.3891,               0.005116,               0.005116,               0.005116
                     39,                0.73894,                0.48528,                  1.009,                0.76814,                0.76275,                0.77783,                0.48887,                 1.1218,                0.76639,                 1.3862,               0.004984,               0.004984,               0.004984
                     40,                0.72881,                0.47725,                 1.0048,                0.78218,                0.59911,                0.67603,                0.45782,                 1.1179,                0.75987,                 1.3881,               0.004852,               0.004852,               0.004852
                     41,                0.71773,                 0.4677,                 0.9959,                0.75169,                  0.631,                0.68236,                0.47236,                 1.1158,                0.75467,                 1.3807,                0.00472,                0.00472,                0.00472
                     42,                0.71001,                0.46178,                0.99677,                 0.6796,                0.78078,                0.70715,                0.47605,                 1.1159,                0.76446,                 1.3922,               0.004588,               0.004588,               0.004588
                     43,                 0.6987,                0.45614,                0.99109,                  0.712,                0.77786,                0.71201,                0.48238,                 1.1237,                0.76809,                 1.4115,               0.004456,               0.004456,               0.004456
                     44,                0.69176,                0.45117,                 0.9812,                0.81683,                0.59779,                0.68227,                0.47138,                 1.1243,                0.75908,                 1.4061,               0.004324,               0.004324,               0.004324
                     45,                 0.6856,                0.44688,                0.98499,                0.64697,                0.74372,                0.71076,                0.47458,                 1.1157,                0.76973,                 1.4024,               0.004192,               0.004192,               0.004192
                     46,                0.67748,                0.44518,                0.97889,                0.80282,                0.60831,                0.65276,                0.45098,                 1.1154,                0.76356,                  1.402,                0.00406,                0.00406,                0.00406
                     47,                0.66824,                0.43893,                0.97562,                0.55503,                0.69244,                0.67825,                0.47459,                 1.1211,                0.80004,                 1.4155,               0.003928,               0.003928,               0.003928
                     48,                0.66084,                0.43546,                 0.9714,                0.66293,                0.76796,                0.78153,                0.54264,                 1.1165,                0.78402,                 1.4119,               0.003796,               0.003796,               0.003796
                     49,                0.65354,                0.42824,                0.96883,                0.73507,                0.65312,                0.66412,                0.46231,                 1.1132,                0.79296,                 1.4042,               0.003664,               0.003664,               0.003664
